nodes,lyapunov,D_inf,D_var,alpha,nmse
4,-0.24118589082091532,1.789171634751365e-13,2.6921111318620947e-28,,1.3537934136702157
5,-0.2999833324318664,5.118436832933337e-13,7.967185977652494e-27,-0.010050663381319448,0.8252467788400836
6,-0.02076091461477892,2.5043953906205655e-13,3.491773688489741e-28,,0.6245330590151706
7,-0.3926928123670053,2.9339930984578784e-13,1.2995141961720729e-27,-0.1579079038795269,1.2181289625062024
8,-0.2815472226789021,2.565871522804908e-13,8.481714502998587e-28,,4.046140601089537
9,-0.04796879505295209,3.31258646595643e-13,2.240248735355427e-28,,7.044705667251713
10,-0.17060269614368026,2.1650689095251506e-13,1.924570864295904e-28,-0.02700971581377769,-11.195197358665057
11,-0.45369903116986504,1.8809227750611594e-13,1.5902062248879803e-28,-0.11712773122451424,5.36208390302977
12,-0.2009354873806017,3.1350976446109656e-13,2.695732513080598e-28,-0.0584650882276309,20.762735723572963
13,-0.14703834018437106,3.1820214656304403e-13,2.2538827958605555e-28,,2.784512075967903
14,-0.3175609631904188,1.9177320081690142e-13,2.132898518634907e-28,,18.386062407488126
